Модель	Наименование	Категория	Цена	Артикул	Ссылка на товар	Источник
Лабораторная посуда и принадлежности из стекла/Ареометры						
АУ 1000-1050	Ареометр стеклянный, уп. 1 шт.	Лабораторная посуда и принадлежности из стекла/Ареометры	1798	21000594	https://minimed.ru/product/290/	minimed.ru
АМ 1020-1040	Ареометр для молока, уп. 1шт.	Лабораторная посуда и принадлежности из стекла/Ареометры	1798	21000503	https://minimed.ru/product/288/	minimed.ru
АМТ 1015-1040	Ареометр для молока, с термометром, уп. 1 шт	Лабораторная посуда и принадлежности из стекла/Ареометры	3516	21000504	https://minimed.ru/product/289/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Банки лабораторные из светлого стекла с делениями и навинчивающейся полипропиленовой крышкой, Китай						
50 мл	Банка лабораторная стеклянная, с делениями, с навинчив. крышкой, светлое стекло, уп.10шт/кор160 шт.	Лабораторная посуда и принадлежности из стекла/Банки лабораторные из светлого стекла с делениями и навинчивающейся полипропиленовой крышкой, Китай	157	10006811	https://minimed.ru/product/299/	minimed.ru
100 мл	Банка лабораторная стеклянная, с делениями, с навинчив. крышкой, светлое стекло, уп.10/80 шт	Лабораторная посуда и принадлежности из стекла/Банки лабораторные из светлого стекла с делениями и навинчивающейся полипропиленовой крышкой, Китай	134	10006800	https://minimed.ru/product/3850/	minimed.ru
250 мл	Банка лабораторная стеклянная, с делениями, с навинчив. крышкой, светлое стекло, уп.10/60 шт	Лабораторная посуда и принадлежности из стекла/Банки лабораторные из светлого стекла с делениями и навинчивающейся полипропиленовой крышкой, Китай	175	10006801	https://minimed.ru/product/3851/	minimed.ru
500 мл	Банка лабораторная стеклянная, с делениями, с навинчив. крышкой, светлое стекло, уп.10/40 шт	Лабораторная посуда и принадлежности из стекла/Банки лабораторные из светлого стекла с делениями и навинчивающейся полипропиленовой крышкой, Китай	236	10006802	https://minimed.ru/product/3860/	minimed.ru
1 л	Банка лабораторная стеклянная, с делениями, с навинчив. крышкой, светлое стекло, уп.6/24 шт	Лабораторная посуда и принадлежности из стекла/Банки лабораторные из светлого стекла с делениями и навинчивающейся полипропиленовой крышкой, Китай	387	10006803	https://minimed.ru/product/3874/	minimed.ru
2 л	Банка лабораторная стеклянная, с делениями, с навинчив. крышкой, светлое стекло, уп.1/10 шт	Лабораторная посуда и принадлежности из стекла/Банки лабораторные из светлого стекла с делениями и навинчивающейся полипропиленовой крышкой, Китай	2218	10006813	https://minimed.ru/product/3880/	minimed.ru
3 л	Банка лабораторная стеклянная, с делениями, с навинчив. крышкой., светлое стекло, уп.1/12 шт	Лабораторная посуда и принадлежности из стекла/Банки лабораторные из светлого стекла с делениями и навинчивающейся полипропиленовой крышкой, Китай	3772	10006814	https://minimed.ru/product/3861/	minimed.ru
5 л	Банка лабораторная стеклянная, с делениями, с навинчив. крышкой, светлое стекло, уп.1/6 шт	Лабораторная посуда и принадлежности из стекла/Банки лабораторные из светлого стекла с делениями и навинчивающейся полипропиленовой крышкой, Китай	4927	10006815	https://minimed.ru/product/3882/	minimed.ru
